corridor_name,MainDTN,NFCh30m,NSCh2pD,TotCha,ChEBM,ChERM,ChE30,MDTN_B,MDTN_R,trucks_per_fast_charger,trucks_per_slow_charger,total_trucks_per_charger,fast_slow_ratio,fast_charger_percent,energy_per_fast_charger,energy_per_slow_charger,energy_per_truck,recommended_fast_chargers,fast_charger_deficit,charger_need_score
Motorway M20 Corridor (Folkestone and Hythe District),394.07,9.0,76.0,85.0,162.52,103.92,266.44,242.25,151.82,26.916666666666668,1.9976315789473684,4.636117647058823,0.11842105263157894,10.588235294117647,18.05777777777778,1.3673684210526316,0.6761235313522979,5.0,0,0.634605445926892
Motorway Autoroute du Nord Corridor (Méharicourt),426.45,12.0,56.0,68.0,201.37,71.82,273.19,316.03,110.42,26.33583333333333,1.9717857142857143,6.271323529411765,0.21428571428571427,17.647058823529413,16.780833333333334,1.2825,0.6406143744870442,7.0,0,0.6287841356006534
Motorway A 4 Corridor (Kubschütz - Kubšicy),416.07,10.0,69.0,79.0,147.75,74.33,222.08,278.07,137.99,27.807,1.9998550724637683,5.266708860759493,0.14492753623188406,12.658227848101266,14.775,1.077246376811594,0.5337563390775591,6.0,0,0.6285323496177827
Motorway A 63 Corridor (Magescq),439.4,10.0,91.0,101.0,167.3,115.95,283.25,258.94,180.46,25.894,1.9830769230769232,4.35049504950495,0.10989010989010989,9.900990099009901,16.73,1.2741758241758243,0.6446290395994538,6.0,0,0.6273171454519508
Motorway A 3 Corridor (Langenfeld (Rheinland)),499.89,12.0,93.0,105.0,155.57,85.68,241.25,315.57,184.32,26.2975,1.9819354838709677,4.760857142857143,0.12903225806451613,11.428571428571429,12.964166666666666,0.9212903225806452,0.4826061733581388,7.0,0,0.6250621540162764
Motorway E 18;E 20 Corridor (Örebro),456.84,13.0,55.0,68.0,177.49,49.16,226.65,348.46,108.39,26.80461538461538,1.9707272727272727,6.718235294117647,0.23636363636363636,19.11764705882353,13.653076923076924,0.8938181818181817,0.4961255581822958,7.0,0,0.6214653307646156
Motorway A 2 Corridor (Bissendorf),510.92,8.0,154.0,162.0,104.88,159.64,264.52,204.19,306.74,25.52375,1.991818181818182,3.1538271604938273,0.05194805194805195,4.938271604938271,13.11,1.0366233766233766,0.5177327174508729,5.0,0,0.6201098557598975
L'Européenne Highway Corridor (Muncq-Nieurlet),332.93,9.0,47.0,56.0,163.32,62.18,225.5,240.9,92.03,26.766666666666666,1.9580851063829787,5.945178571428571,0.19148936170212766,16.071428571428573,18.146666666666665,1.3229787234042554,0.6773195566635629,5.0,0,0.611205703426767
Motorway A 96 Corridor (Hard),366.94,11.0,42.0,53.0,182.75,64.72,247.47,284.21,82.74,25.837272727272726,1.97,6.923396226415094,0.2619047619047619,20.754716981132077,16.613636363636363,1.5409523809523809,0.6744154357660653,6.0,0,0.5994307794362087
S3 Highway Corridor (Międzyrzecz County),423.71,9.0,94.0,103.0,114.95,95.24,210.18,236.16,187.55,26.24,1.995212765957447,4.11368932038835,0.09574468085106383,8.737864077669903,12.772222222222222,1.013191489361702,0.4960468244790069,5.0,0,0.5952282712061334
Trybunalska Highway Corridor (Rokszyce),379.03,11.0,45.0,56.0,154.85,47.38,202.23,290.21,88.82,26.38272727272727,1.9737777777777776,6.768392857142857,0.24444444444444444,19.642857142857142,14.077272727272726,1.052888888888889,0.5335461572962562,6.0,0,0.5911047505783562
Motorway Autoroute d'Arlon Corridor (Hesperange),287.29,8.0,37.0,45.0,130.13,45.06,175.19,214.76,72.53,26.845,1.9602702702702703,6.384222222222222,0.21621621621621623,17.77777777777778,16.26625,1.2178378378378378,0.6098019422882801,5.0,0,0.5810109139643078
Motorway A 1 Corridor (Dortmund),406.99,10.0,76.0,86.0,123.86,74.06,197.92,255.75,151.24,25.575,1.9900000000000002,4.732441860465117,0.13157894736842105,11.627906976744185,12.386,0.9744736842105264,0.48630187473893705,6.0,0,0.5774888203409141
Motorway A 7 Corridor (Tann),379.32,10.0,61.0,71.0,132.16,62.57,194.73,257.86,121.46,25.786,1.9911475409836064,5.342535211267606,0.16393442622950818,14.084507042253522,13.216,1.0257377049180327,0.5133660234103131,6.0,0,0.5767035578062812
La Languedocienne Highway Corridor (Calvisson),306.42,9.0,39.0,48.0,152.32,51.19,203.5,229.64,76.78,25.515555555555554,1.9687179487179487,6.38375,0.23076923076923078,18.75,16.924444444444443,1.3125641025641026,0.6641211409176946,5.0,0,0.5757508712588764
Motorway M20 Corridor (Maidstone),313.44,8.0,55.0,63.0,130.74,71.66,202.4,204.57,108.87,25.57125,1.9794545454545456,4.975238095238095,0.14545454545454545,12.698412698412698,16.3425,1.3029090909090908,0.6457376212353242,5.0,0,0.5744727375797576
Motorway A 44 Corridor (Jüngersdorf),328.41,9.0,48.0,57.0,126.65,47.69,174.35,234.04,94.37,26.004444444444445,1.9660416666666667,5.761578947368421,0.1875,15.789473684210526,14.072222222222223,0.9935416666666667,0.5308912639688194,5.0,0,0.5678049148633127
L'Aquitaine Highway Corridor (Saint-Épain),343.03,7.0,87.0,94.0,111.29,109.5,220.79,169.78,173.25,24.254285714285714,1.9913793103448276,3.649255319148936,0.08045977011494253,7.446808510638298,15.89857142857143,1.2586206896551724,0.6436463283094773,4.0,0,0.5645533706346209
Motorway Autostrada Serenissima Corridor (Torbole Casaglia),267.89,7.0,47.0,54.0,125.6,66.46,192.06,175.27,92.62,25.03857142857143,1.9706382978723405,4.960925925925926,0.14893617021276595,12.962962962962964,17.942857142857143,1.4140425531914893,0.7169360558438166,4.0,0,0.5635374347841788
La Hesbignonne Highway Corridor (Beyne-Heusay),293.67,8.0,41.0,49.0,110.0,42.0,152.0,213.44,80.22,26.68,1.9565853658536585,5.993265306122449,0.1951219512195122,16.3265306122449,13.75,1.024390243902439,0.5175877685837845,5.0,0,0.5615139234404565
Süd Autobahn Highway Corridor (Vienna),289.76,7.0,54.0,61.0,98.69,58.79,157.48,183.08,106.68,26.154285714285717,1.9755555555555557,4.750163934426229,0.12962962962962962,11.475409836065573,14.098571428571429,1.0887037037037037,0.5434842628382109,4.0,0,0.5559686127194682
Motorway A 6a Corridor (Champigny-sur-Marne),352.79,6.0,106.0,112.0,93.2,142.19,235.39,141.02,211.77,23.503333333333334,1.9978301886792453,3.1499107142857143,0.05660377358490566,5.357142857142857,15.533333333333333,1.3414150943396226,0.6672241276680178,3.0,0,0.5554459609394687
Motorway A 22 Corridor (Noyelles-lès-Seclin),291.25,7.0,58.0,65.0,107.52,73.35,180.87,175.89,115.36,25.127142857142854,1.9889655172413794,4.480769230769231,0.1206896551724138,10.76923076923077,15.36,1.264655172413793,0.6210128755364807,4.0,0,0.5529738180494712
Motorway AP-1/AP-8 Corridor (Saint-Jean-de-Luz),360.18,7.0,99.0,106.0,106.37,118.69,225.06,162.83,197.35,23.261428571428574,1.9934343434343433,3.397924528301887,0.0707070707070707,6.60377358490566,15.195714285714287,1.198888888888889,0.6248542395468932,4.0,0,0.5523313489915616
Motorway A 44 Corridor (Wethen),291.82,7.0,55.0,62.0,92.95,53.23,146.18,183.33,108.49,26.19,1.9725454545454544,4.706774193548387,0.12727272727272726,11.290322580645162,13.278571428571428,0.9678181818181818,0.5009252278802001,4.0,0,0.5507743705939964
D1 Highway Corridor (Sázava),296.35,8.0,49.0,57.0,121.88,63.19,185.08,199.12,97.23,24.89,1.9842857142857144,5.199122807017544,0.16326530612244897,14.035087719298245,15.235,1.289591836734694,0.6245318036105956,4.0,0,0.5507530032731738
Motorway Autostrada Serenissima Corridor (Sommacampagna),264.62,6.0,60.0,66.0,104.13,84.1,188.23,145.92,118.7,24.319999999999997,1.9783333333333333,4.00939393939394,0.1,9.090909090909092,17.355,1.4016666666666666,0.7113218955483334,3.0,0,0.5483948432342494
Motorway Aleja Armii Krajowej Corridor (Warsaw),293.77,8.0,41.0,49.0,97.43,39.56,136.99,212.83,80.95,26.60375,1.974390243902439,5.995306122448979,0.1951219512195122,16.3265306122449,12.17875,0.9648780487804879,0.4663171869149335,5.0,0,0.5482819213033512
Motorway Autoroute du Nord Corridor (Bouqueval),365.44,7.0,102.0,109.0,101.51,130.66,232.17,161.67,203.78,23.095714285714283,1.997843137254902,3.3526605504587157,0.06862745098039216,6.422018348623853,14.501428571428573,1.2809803921568628,0.6353163309982487,4.0,0,0.5466523538891904
L'Aquitaine Highway Corridor (Vouvray),320.99,8.0,65.0,73.0,117.43,82.64,200.07,192.9,128.09,24.1125,1.9706153846153847,4.397123287671233,0.12307692307692308,10.95890410958904,14.67875,1.2713846153846153,0.6232904451852083,4.0,0,0.545195488570652
Motorway Autoroute de Lorraine-Bourgogne Corridor (Châtel-Saint-Germain),260.12,7.0,42.0,49.0,107.55,51.98,159.54,176.46,83.66,25.208571428571428,1.9919047619047618,5.308571428571429,0.16666666666666666,14.285714285714286,15.364285714285714,1.2376190476190476,0.613332308165462,4.0,0,0.5427964383881221
Via Baltica Highway Corridor (Przyjmy),311.36,9.0,37.0,46.0,97.34,36.63,133.97,237.69,73.66,26.41,1.9908108108108107,6.768695652173913,0.24324324324324326,19.565217391304348,10.815555555555555,0.9900000000000001,0.4302736382322713,5.0,0,0.5414768185711774
L'Aquitaine Highway Corridor (Berneuil),221.05,6.0,36.0,42.0,104.14,50.44,154.57,149.1,71.96,24.849999999999998,1.9988888888888887,5.2630952380952385,0.16666666666666666,14.285714285714286,17.356666666666666,1.401111111111111,0.6992535625424111,3.0,0,0.5395393937347238
Motorway A 7 Corridor (Berge),257.42,6.0,53.0,59.0,79.41,53.32,132.73,153.3,104.11,25.55,1.9643396226415095,4.363050847457627,0.11320754716981132,10.169491525423728,13.235,1.0060377358490566,0.5156165022142801,4.0,0,0.5296355415275631
Rocade Intérieure Highway Corridor (Saucats),252.94,7.0,43.0,50.0,110.84,56.52,167.36,168.25,84.68,24.035714285714285,1.9693023255813955,5.0588,0.16279069767441862,14.0,15.834285714285715,1.3144186046511628,0.6616588914367044,4.0,0,0.5285803916867489
Motorway M6 Corridor (Stafford),184.04,6.0,17.0,23.0,99.66,21.78,121.44,151.4,32.64,25.233333333333334,1.92,8.001739130434782,0.35294117647058826,26.08695652173913,16.61,1.2811764705882354,0.6598565529232776,4.0,0,0.5253017496754898
Motorway A 1 Corridor (Damme),199.08,7.0,8.0,15.0,98.4,6.85,105.25,183.97,15.11,26.28142857142857,1.88875,13.272,0.875,46.666666666666664,14.057142857142859,0.85625,0.5286819369097849,4.0,0,0.5244667921008455
Motorway A 1 Corridor (Hagen am Teutoburger Wald),255.59,7.0,40.0,47.0,91.88,41.63,133.51,176.32,79.28,25.18857142857143,1.982,5.438085106382979,0.175,14.893617021276595,13.125714285714285,1.04075,0.5223600297351226,4.0,0,0.5234081016475052
Motorway A 3 Corridor (Duisburg),309.64,8.0,59.0,67.0,99.84,57.08,156.91,192.23,117.4,24.02875,1.9898305084745764,4.621492537313433,0.13559322033898305,11.940298507462687,12.48,0.967457627118644,0.5067497739310167,4.0,0,0.5228177367031913
L’Océane Highway Corridor (Saint-Benoît),261.11,8.0,38.0,46.0,126.47,45.45,171.92,186.98,74.13,23.3725,1.9507894736842104,5.676304347826087,0.21052631578947367,17.391304347826086,15.80875,1.1960526315789475,0.6584198230630768,4.0,0,0.5226945635255011
Motorway A 3 Corridor (Hettstadt),261.36,7.0,44.0,51.0,91.63,44.41,136.03,174.76,86.61,24.965714285714284,1.968409090909091,5.124705882352941,0.1590909090909091,13.72549019607843,13.09,1.0093181818181818,0.5204698500153045,4.0,0,0.5223135879340365
Motorway A3 Corridor (Erlinsbach (AG)),231.19,6.0,44.0,50.0,95.31,56.97,152.27,144.64,86.54,24.106666666666666,1.966818181818182,4.6238,0.13636363636363635,12.0,15.885,1.2947727272727272,0.6586357541416151,3.0,0,0.5220256711402737
Motorway Autostrada Wolności Corridor (Trzebaw),284.43,9.0,30.0,39.0,105.89,29.24,135.13,225.02,59.42,25.002222222222223,1.9806666666666668,7.2930769230769235,0.3,23.076923076923077,11.765555555555556,0.9746666666666666,0.4750905319410751,5.0,0,0.5207968312817151
Motorway A 45 Corridor (Watzenborn-Steinberg),264.06,6.0,59.0,65.0,77.94,61.37,139.3,147.24,116.82,24.540000000000003,1.98,4.062461538461538,0.1016949152542373,9.23076923076923,12.99,1.0401694915254236,0.5275316216011513,3.0,0,0.5169610724095335
Motorway Autostrada Wolności Corridor (Brzeźno),240.2,6.0,45.0,51.0,77.44,43.11,120.55,151.49,88.71,25.248333333333335,1.9713333333333332,4.709803921568628,0.13333333333333333,11.764705882352942,12.906666666666666,0.958,0.5018734388009992,4.0,0,0.5169031569670993
Motorway Autoroute de Normandie Corridor (Saint-Étienne-du-Rouvray),199.53,7.0,16.0,23.0,117.4,21.73,139.12,168.3,31.24,24.042857142857144,1.9525,8.675217391304347,0.4375,30.434782608695652,16.771428571428572,1.358125,0.6972385104996742,4.0,0,0.516654401576512
Motorway AP-1/AP-8 Corridor (Errenteria),260.51,8.0,37.0,45.0,118.58,45.02,163.6,187.92,72.59,23.49,1.961891891891892,5.789111111111111,0.21621621621621623,17.77777777777778,14.8225,1.2167567567567568,0.6279989251852136,4.0,0,0.5163044566918886
Motorway A 3 Corridor (Niederhofen),315.9,7.0,76.0,83.0,82.58,74.69,157.27,165.3,150.6,23.614285714285717,1.9815789473684209,3.806024096385542,0.09210526315789473,8.433734939759036,11.797142857142857,0.9827631578947368,0.49784742006964233,4.0,0,0.5143477685145372
Motorway A67 Corridor (Someren),254.97,6.0,55.0,61.0,76.76,54.39,131.16,145.99,108.98,24.331666666666667,1.9814545454545456,4.17983606557377,0.10909090909090909,9.836065573770492,12.793333333333335,0.988909090909091,0.5144134604071067,3.0,0,0.5094176980524416
Motorway Autoroute de Wallonie Corridor (Auvelais),230.13,7.0,30.0,37.0,94.2,33.01,127.21,172.02,58.11,24.574285714285715,1.937,6.21972972972973,0.23333333333333334,18.91891891891892,13.457142857142857,1.1003333333333332,0.5527745187502716,4.0,0,0.5087710760290995
Motorway A 1 Corridor (Dötlingen),306.3,7.0,73.0,80.0,86.47,75.62,162.09,161.16,145.14,23.02285714285714,1.9882191780821916,3.8287500000000003,0.0958904109589041,8.75,12.352857142857143,1.0358904109589042,0.5291870714985308,4.0,0,0.507503699886873
Motorway A 5 Corridor (Malsch),249.85,5.0,65.0,70.0,64.79,68.62,133.41,121.02,128.83,24.204,1.9820000000000002,3.5692857142857144,0.07692307692307693,7.142857142857143,12.958000000000002,1.0556923076923077,0.5339603762257354,3.0,0,0.5071859983853105
Motorway A 3 Corridor (Bonn),254.13,6.0,55.0,61.0,75.18,53.81,128.99,146.03,108.09,24.338333333333335,1.9652727272727273,4.166065573770492,0.10909090909090909,9.836065573770492,12.530000000000001,0.9783636363636364,0.507574863258962,3.0,0,0.5071433162109046
S3 Highway Corridor (Sulimierz),195.29,7.0,7.0,14.0,85.03,5.79,90.82,182.42,12.87,26.06,1.8385714285714285,13.949285714285713,1.0,50.0,12.147142857142857,0.8271428571428572,0.46505197398740333,4.0,0,0.505287614431343
Motorway A 44 Corridor (Kelmis - La Calamine),276.81,7.0,57.0,64.0,83.55,56.38,139.93,164.62,112.19,23.517142857142858,1.9682456140350877,4.32515625,0.12280701754385964,10.9375,11.935714285714285,0.989122807017544,0.5055091940320076,4.0,0,0.5000094653493232
Motorway Autopista del Ebro Corridor (Pedrola),247.91,6.0,52.0,58.0,73.4,42.19,115.59,144.58,103.32,24.096666666666668,1.9869230769230768,4.274310344827586,0.11538461538461539,10.344827586206897,12.233333333333334,0.8113461538461538,0.4662579161792586,3.0,0,0.49942350723611467
Motorway E34 Corridor (Geel),289.62,6.0,77.0,83.0,75.52,86.73,162.25,135.75,153.87,22.625,1.9983116883116883,3.489397590361446,0.07792207792207792,7.228915662650603,12.586666666666666,1.1263636363636365,0.5602168358538775,3.0,0,0.4981044073890979
Inlandsvägen Route (Värmland County),345.28999999999996,14.0,13.0,27.0,131.73,11.25,142.97,321.27,24.009999999999998,22.947857142857142,1.8469230769230767,12.788518518518517,1.0769230769230769,51.851851851851855,9.409285714285714,0.8653846153846154,0.4140577485591822,7.0,0,0.49764982143347886
Motorway Autopista de la Mediterrània Corridor (Montesquieu-des-Albères),187.42,6.0,23.0,29.0,91.79,31.12,122.9,142.16,45.26,23.69333333333333,1.9678260869565216,6.462758620689654,0.2608695652173913,20.689655172413794,15.298333333333334,1.3530434782608696,0.655746451819443,3.0,0,0.4962058859279913
Motorway A3 Corridor (Otok),230.4,8.0,13.0,21.0,78.8,9.66,88.46,205.33,25.07,25.66625,1.9284615384615384,10.971428571428572,0.6153846153846154,38.095238095238095,9.85,0.7430769230769231,0.3839409722222222,5.0,0,0.4949237891822803
Motorway Most Anny Jagiellonki Corridor (Duchnów),201.5,7.0,11.0,18.0,75.77,9.4,85.16,180.7,20.8,25.814285714285713,1.8909090909090909,11.194444444444445,0.6363636363636364,38.888888888888886,10.824285714285713,0.8545454545454546,0.4226302729528536,4.0,0,0.4939995616034536
Motorway Autoroute du Soleil Corridor (Lurcy),220.84,6.0,44.0,50.0,93.89,59.88,153.77,134.1,86.74,22.349999999999998,1.9713636363636362,4.4168,0.13636363636363635,12.0,15.648333333333333,1.360909090909091,0.6962959608766528,3.0,0,0.49353169000489544
Motorway Autoroute de Wallonie Corridor (Écaussinnes),186.11,6.0,21.0,27.0,82.18,23.41,105.59,146.06,40.05,24.343333333333334,1.907142857142857,6.892962962962963,0.2857142857142857,22.22222222222222,13.696666666666667,1.1147619047619048,0.567352640911289,3.0,0,0.49169207839107265
Motorway M6 Corridor (Newcastle-under-Lyme),176.85,6.0,18.0,24.0,91.38,22.72,114.09,141.71,35.14,23.618333333333336,1.9522222222222223,7.3687499999999995,0.3333333333333333,25.0,15.229999999999999,1.2622222222222221,0.6451229855810009,3.0,0,0.4908670620915062
West Autobahn Highway Corridor (Kohlgrube),219.98,5.0,51.0,56.0,64.45,55.66,120.11,118.92,101.06,23.784,1.9815686274509805,3.9282142857142857,0.09803921568627451,8.928571428571429,12.89,1.0913725490196078,0.5460041821983816,3.0,0,0.4903642704416498
Motorway Autostrada Serenissima Corridor (Altavilla Vicentina),229.36,6.0,49.0,55.0,88.98,67.47,156.44,132.02,97.34,22.003333333333334,1.986530612244898,4.170181818181819,0.12244897959183673,10.909090909090908,14.83,1.376938775510204,0.6820718521102197,3.0,0,0.4857054712306104
Motorway A 4 Corridor (Königshain),233.69,7.0,35.0,42.0,85.88,38.35,124.23,163.88,69.81,23.41142857142857,1.9945714285714287,5.564047619047619,0.2,16.666666666666668,12.268571428571429,1.0957142857142859,0.5316016945526124,4.0,0,0.48561789001561273
Motorway A 5 Corridor (Sellnrod),217.77,7.0,26.0,33.0,85.88,27.16,113.05,166.92,50.86,23.845714285714283,1.9561538461538461,6.59909090909091,0.2692307692307692,21.21212121212121,12.268571428571429,1.0446153846153847,0.5191256830601092,4.0,0,0.4855139550960801
Motorway Autostrada Wolności Corridor (Niewierz),283.84,7.0,64.0,71.0,81.15,67.14,148.29,156.23,127.61,22.318571428571428,1.99390625,3.997746478873239,0.109375,9.859154929577464,11.592857142857143,1.0490625,0.5224422209695604,4.0,0,0.48425382296720304
Motorway A 40 Corridor (Sevenum),273.46,7.0,58.0,65.0,81.24,54.42,135.66,157.99,115.47,22.57,1.9908620689655172,4.207076923076923,0.1206896551724138,10.76923076923077,11.605714285714285,0.9382758620689655,0.4960871791121188,4.0,0,0.48387290560296276
Motorway A 1 Corridor (Werl),236.09,6.0,48.0,54.0,71.61,48.88,120.49,140.15,95.94,23.358333333333334,1.99875,4.372037037037037,0.125,11.11111111111111,11.935,1.0183333333333333,0.5103562200855606,3.0,0,0.4831890606280084
Motorway A4 Corridor (Paniówki),184.79,6.0,20.0,26.0,74.15,22.59,96.75,146.75,38.04,24.458333333333332,1.902,7.107307692307692,0.3,23.076923076923077,12.358333333333334,1.1295,0.5235672926024135,3.0,0,0.4822582590965929
Motorway A 19 Corridor (Bazoches-les-Hautes),205.28,5.0,46.0,51.0,68.88,57.44,126.32,114.88,90.41,22.976,1.9654347826086955,4.0250980392156865,0.10869565217391304,9.803921568627452,13.776,1.248695652173913,0.6153546375681995,3.0,0,0.4814306938775295
Motorway A 40 Corridor (Kreis Kleve),219.79,5.0,51.0,56.0,60.05,47.08,107.14,118.05,101.74,23.61,1.9949019607843137,3.9248214285714282,0.09803921568627451,8.928571428571429,12.01,0.9231372549019607,0.4874653077938032,3.0,0,0.481153049659806
Motorway M25 Corridor (Sevenoaks),220.88,7.0,33.0,40.0,99.87,41.79,141.66,155.42,65.46,22.20285714285714,1.9836363636363634,5.522,0.21212121212121213,17.5,14.267142857142858,1.2663636363636364,0.6413437160449112,4.0,0,0.4808386137885504
L'Aquitaine Highway Corridor (Mesland),218.08,5.0,53.0,58.0,68.88,66.96,135.84,112.8,105.28,22.56,1.9864150943396226,3.7600000000000002,0.09433962264150944,8.620689655172415,13.776,1.2633962264150942,0.6228906823184153,3.0,0,0.4806432161405092
West Autobahn Highway Corridor (St. Florian),202.26,6.0,31.0,37.0,76.67,31.93,108.6,141.22,61.04,23.536666666666665,1.969032258064516,5.466486486486486,0.1935483870967742,16.216216216216218,12.778333333333334,1.03,0.5369326609314743,3.0,0,0.4798516086462895
Motorway A 3 Corridor (Hohenfels),221.4,6.0,42.0,48.0,75.74,45.38,121.12,138.1,83.3,23.016666666666666,1.9833333333333332,4.6125,0.14285714285714285,12.5,12.623333333333333,1.0804761904761906,0.5470641373080397,3.0,0,0.47879343051229706
L'Aquitaine Highway Corridor (Saint-Simon-de-Bordes),208.23,4.0,61.0,65.0,60.19,82.98,143.17,87.71,120.52,21.9275,1.9757377049180327,3.2035384615384612,0.06557377049180328,6.153846153846154,15.0475,1.3603278688524592,0.6875570282860298,2.0,0,0.4787648633404414
Motorway E 20 Corridor (Lugnås),359.95,4.0,137.0,141.0,32.56,77.73,110.29,86.52,273.43,21.63,1.995839416058394,2.552836879432624,0.029197080291970802,2.8368794326241136,8.14,0.5673722627737227,0.3064036671759967,2.0,0,0.4758650851391306
Motorway Autostrada Bursztynowa Corridor (Tuszyn),212.14,8.0,11.0,19.0,88.6,10.04,98.64,191.77,20.38,23.97125,1.8527272727272726,11.165263157894737,0.7272727272727273,42.10526315789474,11.075,0.9127272727272726,0.4649759592721788,4.0,0,0.4757876574994675
Motorway A 8 Corridor (Pforzheim),203.5,6.0,32.0,38.0,74.94,32.83,107.77,139.89,63.61,23.314999999999998,1.9878125,5.355263157894737,0.1875,15.789473684210526,12.49,1.0259375,0.5295823095823096,3.0,0,0.47515887357216907
Motorway Autoroute de Lorraine-Bourgogne Corridor (Bourg),159.31,4.0,35.0,39.0,62.3,47.41,109.71,90.68,68.63,22.67,1.9608571428571426,4.084871794871795,0.11428571428571428,10.256410256410257,15.575,1.3545714285714285,0.6886573347561358,2.0,0,0.4748497321778553
Motorway A 3 Corridor (Püssensheim),254.07,7.0,50.0,57.0,83.13,49.79,132.92,155.53,98.54,22.21857142857143,1.9708,4.457368421052632,0.14,12.280701754385966,11.875714285714285,0.9958,0.5231629078600385,4.0,0,0.4743802064816024
Motorway Autostrada del Sole Corridor (San Polo),131.23,5.0,8.0,13.0,78.83,10.2,89.02,116.45,14.78,23.29,1.8475,10.094615384615384,0.625,38.46153846153846,15.766,1.275,0.6783509868170388,3.0,0,0.47425539940496847
Øresundsmotorvejen Highway Corridor (Unknown Area),258.46,5.0,71.0,76.0,48.39,60.97,109.36,116.71,141.75,23.342,1.9964788732394365,3.40078947368421,0.07042253521126761,6.578947368421052,9.678,0.8587323943661972,0.42312156619979885,3.0,0,0.47344511030841874
